Account,total_lifetime_trades,avg_win_rate,avg_trade_size,lifetime_pnl,Cluster,Archetype
0x083384f897ee0f19899168e3b1bec365f52a9012,3818.0,0.35233288809198676,33569.102223713766,1600229.8199790001,2,The Whales (High Size)
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,7280.0,0.39713376753982704,4359.8309302466505,47885.320514,0,The Retail Average
0x271b280974205ca63b716753467d5a371de622ab,3809.0,0.3799521001942577,11057.118418553686,-70436.19131799998,0,The Retail Average
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,13311.0,0.4525088144750888,484.8442941619222,132464.814554,1,The High-Frequency Scalpers
0x2c229d22b100a7beb69122eed721cee9b24011dd,3239.0,0.498708261557744,2553.7570373757217,168658.004994,0,The Retail Average
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,815.0,0.2662149612452762,1613.2556722621034,-31203.599986,0,The Retail Average
0x39cef799f8b69da1995852eea189df24eb5cae3c,3589.0,0.36468216478488236,28188.549085190585,14456.919335999986,2,The Whales (High Size)
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,332.0,0.45689935064935067,9812.51560528366,53496.247243000005,0,The Retail Average
0x420ab45e0bd8863569a5efbb9c05d91f40624641,383.0,0.42995901639344264,8334.762260556681,199505.59273200002,0,The Retail Average
0x430f09841d65beb3f27765503d0f850b8bce7713,1237.0,0.2026689708141321,2525.945975144083,416541.872341,0,The Retail Average
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,8519.0,0.3639104417771443,516.6442989710463,103343.716161,0,The Retail Average
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,4356.0,0.426408492962711,16024.724760769133,677747.0506429999,2,The Whales (High Size)
0x4f93fead39b70a1824f981a54d4e55b278e9f760,7584.0,0.30121366471109007,16038.456425115373,308975.869716,2,The Whales (High Size)
0x513b8629fe877bb581bf244e326a047b249c4ff1,12236.0,0.3254950998749796,27603.84521556422,840422.5552160001,2,The Whales (High Size)
0x6d6a4b953f202f8df5bed40692e7fd865318264a,975.0,0.3411133250429654,867.1703611532234,108731.216772,0,The Retail Average
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,1590.0,0.20335120373383359,9367.295108536868,429355.565915,0,The Retail Average
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,1430.0,0.2254729997626682,4840.92212840505,403011.504159,0,The Retail Average
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,9893.0,0.7105283610078542,3354.2092903010684,379095.406711,1,The High-Frequency Scalpers
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,1559.0,0.43590574641442353,6760.1144210194525,14900.443047,0,The Retail Average
0x8170715b3b381dffb7062c0298972d4727a0a63b,4601.0,0.32028170644220266,2782.687344213111,-167621.12478099993,0,The Retail Average
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,1911.0,0.1888747291211057,5475.174210575846,65513.657906,0,The Retail Average
0x8477e447846c758f5a675856001ea72298fd9cb5,14998.0,0.3051995431656707,839.021370213006,43917.008976000005,0,The Retail Average
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,3052.0,0.20333037461996042,12481.488695021259,126578.942134,0,The Retail Average
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,15605.0,0.2739107378656304,1273.0527781456335,106302.875256,0,The Retail Average
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,417.0,0.4114921219752971,2007.3297785771122,72846.484272,0,The Retail Average
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,563.0,0.29853655922621436,2959.4760618012087,67845.619531,0,The Retail Average
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,534.0,0.31476939651867186,18919.354152424097,21758.831753,2,The Whales (High Size)
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,14733.0,0.2845184831155218,4495.49655852293,2143382.597689,0,The Retail Average
0xb899e522b5715391ae1d4f137653e7906c5e2115,4838.0,0.4325793426390197,26246.518331080708,22488.500821,2,The Whales (High Size)
0xbaaaf6571ab7d571043ff1e313a9609a10637864,21192.0,0.45562479214327567,4528.364242699367,940163.80622,1,The High-Frequency Scalpers
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2641.0,0.22402073653037008,10511.08274482338,220519.061853,0,The Retail Average
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,40184.0,0.41102928202983036,1760.5388452412292,836080.553077,1,The High-Frequency Scalpers
